,H,Length
2596,honorific,9
2597,honorless,9
2598,hont,4
2599,hoo,3
2600,hood,4
2601,hooded,6
2602,hooding,7
2603,hoodcap,7
2604,hoodless,8
2605,hoodlum,7
2606,hoodman,7
2607,hoodoo,6
2608,hoodwink,8
2609,hoody,5
2610,hoofs,5
2611,hooves,6
2612,hoof,4
2613,hoofbound,9
2614,hoofed,6
2615,hoofless,8
2616,hook,4
2617,hooked,6
2618,hooking,7
2619,hookah,6
2620,hookedness,10
2621,hooker,6
2622,hookey,6
2623,hooklet,7
2624,hooky,5
2625,hool,4
2626,hoolock,7
2627,hoom,4
2628,hoonoomaun,10
2629,hoop,4
2630,hooped,6
2631,hooping,7
2632,hooper,6
2633,hoopoe,6
2634,hoopoo,6
2635,hoosier,7
2636,hooted,6
2637,hooting,7
2638,hoot,4
2639,hoove,5
2640,hooven,6
2641,hopped,6
2642,hopping,7
2643,hop,3
2644,hopbine,7
2645,hopbind,7
2646,hope,4
2647,hoped,5
2648,hoping,6
2649,hopeful,7
2650,hopeite,7
2651,hopeless,8
2652,hoper,5
2653,hopingly,8
2654,hoplite,7
2655,hopper,6
2656,hopperings,10
2657,hoppestere,10
2658,hoppet,6
2659,hoppled,7
2660,hoppling,8
2661,hopple,6
2662,hopplebush,10
2663,hoppo,5
2664,hopscotch,9
2665,hopyard,7
2666,horal,5
2667,horaly,6
2668,horary,6
2669,horatian,8
2670,horde,5
2671,hordeic,7
2672,hordein,7
2673,hordeolum,9
2674,hordock,7
2675,hore,4
2676,horehound,9
2677,horizon,7
2678,horizontal,10
2679,horizontality,13
2680,horizontally,12
2681,hormogonium,11
2682,horn,4
2683,hornbeak,8
2684,hornbeam,8
2685,hornbill,8
2686,hornblende,10
2687,hornblendic,11
2688,hornblower,10
2689,hornbook,8
2690,hornbug,7
2691,horned,6
2692,hornedness,10
2693,hornel,6
2694,horner,6
2695,hornet,6
2696,hornfish,8
2697,hornfoot,8
2698,hornify,7
2699,horning,7
2700,hornish,7
2701,hornito,7
2702,hornless,8
2703,hornotine,9
2704,hornowl,7
2705,hornpike,8
2706,hornpipe,8
2707,hornpout,8
2708,hornsnake,9
2709,hornstone,9
2710,horntail,8
2711,hornwork,8
2712,hornwort,8
2713,hornwrack,9
2714,horny,5
2715,hornyhead,9
2716,horography,10
2717,horologe,8
2718,horologer,9
2719,horological,11
2720,horologiographer,16
2721,horologiographic,16
2722,horologiography,15
2723,horologist,10
2724,horology,8
2725,horometer,9
2726,horometrical,12
2727,horometry,9
2728,horopter,8
2729,horopteric,10
2730,horoscope,9
2731,horoscoper,10
2732,horoscopist,11
2733,horoscopy,9
2734,horrendous,10
2735,horrent,7
2736,horrible,8
2737,horribleness,12
2738,horribly,8
2739,horrid,6
2740,horridly,8
2741,horridness,10
2742,horrific,8
2743,horrification,13
2744,horrified,9
2745,horrifying,10
2746,horrify,7
2747,horripilation,13
2748,horrisonant,11
2749,horrisonous,11
2750,horror,6
2751,horse,5
2752,horsed,6
2753,horsing,7
2754,horseback,9
2755,horsefish,9
2756,horseflesh,10
2757,horseflies,10
2758,horsefly,8
2759,horsefeet,9
2760,horsefoot,9
2761,horsehair,9
2762,horsehead,9
2763,horsehide,9
2764,horseknop,9
2765,horselaugh,10
2766,horsemen,8
2767,horseman,8
2768,horsemanship,12
2769,horsemint,9
2770,horsenail,9
2771,horseplay,9
2772,horsepond,9
2773,horserake,9
2774,horseshoe,9
2775,horseshoer,10
2776,horseshoeing,12
2777,horsetail,9
2778,horseweed,9
2779,horsewhip,9
2780,horsewomen,10
2781,horsewoman,10
2782,horsewood,9
2783,horseworm,9
2784,horsiness,9
2785,horsly,6
2786,horsy,5
2787,hortation,9
2788,hortative,9
2789,hortatory,9
2790,hortensial,10
2791,horticultor,11
2792,horticultural,13
2793,horticulture,12
2794,horticulturist,14
2795,hortulan,8
2796,hortyard,8
2797,hosannas,8
2798,hosanna,7
2799,hose,4
2800,hosen,5
2801,hosier,6
2802,hosiery,7
2803,hospice,7
2804,hospitable,10
2805,hospitableness,14
2806,hospitably,10
2807,hospitage,9
2808,hospital,8
2809,hospitaler,10
2810,hospitalism,11
2811,hospitalities,13
2812,hospitality,11
2813,hospitalize,11
2814,hospitate,9
2815,hospitium,9
2816,hospodar,8
2817,host,4
2818,hostage,7
2819,hostel,6
2820,hosteler,8
2821,hostelry,8
2822,hostess,7
2823,hostie,6
2824,hostile,7
2825,hostilely,9
2826,hostilities,11
2827,hostility,9
2828,hostilize,9
2829,hosting,7
2830,hostler,7
2831,hostless,8
2832,hostry,6
2833,hotbed,6
2834,hotchpot,8
2835,hotchpotch,10
2836,hotcockles,10
2837,hotel,5
2838,hotfoot,7
2839,hothouse,8
2840,hotly,5
2841,hotness,7
2842,hotpress,8
2843,hotpressed,10
2844,hotspur,7
2845,hotspurred,10
2846,hottentot,9
2847,hottentotism,12
2848,houdah,6
2849,houghed,7
2850,houghing,8
2851,houlet,6
2852,hoult,5
2853,hound,5
2854,hounded,7
2855,hounding,8
2856,houndfish,9
2857,houp,4
2858,hour,4
2859,hourglass,9
2860,houris,6
2861,houri,5
2862,hourly,6
2863,hours,5
2864,housage,7
2865,houses,6
2866,house,5
2867,housed,6
2868,housing,7
2869,housebote,9
2870,housebreaker,12
2871,housebreaking,13
2872,housebuilder,12
2873,housecarl,9
2874,household,9
2875,householder,11
2876,housekeeper,11
2877,housekeeping,12
2878,housel,6
2879,houseleek,9
2880,houseless,9
2881,houselessness,13
2882,houseline,9
2883,houseling,9
2884,housemaid,9
2885,housemate,9
2886,houseroom,9
2887,housewarming,12
2888,housewife,9
2889,housewive,9
2890,housewifely,11
2891,housewifery,11
2892,housework,9
2893,housewright,11
2894,housling,8
2895,houss,5
2896,houtou,6
2897,houve,5
2898,houyhnhnm,9
2899,hovel,5
2900,hoveled,7
2901,hovelled,8
2902,hoveling,8
2903,hovelling,9
2904,hoveler,7
2905,hover,5
2906,hovered,7
2907,hovering,8
2908,hoverer,7
2909,hoveringly,10
2910,how,3
2911,howadji,7
2912,howbeit,7
2913,howdah,6
2914,howdy,5
2915,howel,5
2916,howell,6
2917,however,7
2918,howitz,6
2919,howitzer,8
2920,howker,6
2921,howled,6
2922,howling,7
2923,howl,4
2924,howler,6
2925,howlet,6
2926,howp,4
2927,howso,5
2928,howsoever,9
2929,howve,5
2930,hox,3
2931,hoy,3
2932,hoyden,6
2933,hoymen,6
2934,hoyman,6
2935,huanaco,7
2936,hub,3
2937,hubbub,6
2938,hubby,5
2939,hubner,6
2940,huch,4
2941,huchen,6
2942,huck,4
2943,huckaback,9
2944,huckle,6
2945,huckleberry,11
2946,huckster,8
2947,huckstered,10
2948,huckstering,11
2949,hucksterage,11
2950,hucksterer,10
2951,huckstress,10
2952,hud,3
2953,huddled,7
2954,huddling,8
2955,huddle,6
2956,huddler,7
2957,hudge,5
2958,hudibrastic,11
2959,hudsonian,9
2960,hue,3
2961,hued,4
2962,hueless,7
2963,huer,4
2964,huffed,6
2965,huffing,7
2966,huff,4
2967,huffcap,7
2968,huffer,6
2969,huffiness,9
2970,huffingly,9
2971,huffish,7
2972,huffy,5
2973,hugged,6
2974,hugging,7
2975,hug,3
2976,huge,4
2977,hugger,6
2978,huggle,6
2979,huguenot,8
2980,huguenotism,11
2981,hugy,4
2982,huisher,7
2983,huke,4
2984,hulan,5
2985,hulch,5
2986,hulchy,6
2987,hulk,4
2988,hulking,7
2989,hulky,5
2990,hull,4
2991,hulled,6
2992,hulling,7
2993,hullabaloo,10
2994,huller,6
2995,hullo,5
2996,hully,5
2997,huloist,7
2998,hulotheism,10
2999,hulver,6
3000,hummed,6
3001,humming,7
3002,hum,3
3003,human,5
3004,humanate,8
3005,humane,6
3006,humanics,8
3007,humanify,8
3008,humanism,8
3009,humanist,8
3010,humanistic,10
3011,humanitarian,12
3012,humanitarianism,15
3013,humanitian,10
3014,humanities,10
3015,humanity,8
3016,humanization,12
3017,humanized,9
3018,humanizing,10
3019,humanize,8
3020,humanizer,9
3021,humankind,9
3022,humanly,7
3023,humanness,9
3024,humate,6
3025,humation,8
3026,humbird,7
3027,humble,6
3028,humbled,7
3029,humbling,8
3030,humblebee,9
3031,humblehead,10
3032,humbleness,10
3033,humbler,7
3034,humbles,7
3035,humblesse,9
3036,humbly,6
3037,humbug,6
3038,humbugged,9
3039,humbugging,10
3040,humbugger,9
3041,humbuggery,10
3042,humdrum,7
3043,humect,6
3044,humectate,9
3045,humectant,9
3046,humectation,11
3047,humective,9
3048,humeral,7
3049,humeri,6
3050,humerus,7
3051,humic,5
3052,humicubation,12
3053,humid,5
3054,humidity,8
3055,humidness,9
3056,humifuse,8
3057,humiliant,9
3058,humiliated,10
3059,humiliating,11
3060,humiliate,9
3061,humiliation,11
3062,humilities,10
3063,humility,8
3064,humin,5
3065,humiri,6
3066,humite,6
3067,hummel,6
3068,hummeler,8
3069,hummer,6
3070,hummock,7
3071,hummocking,10
3072,hummocky,8
3073,hummum,6
3074,humor,5
3075,humored,7
3076,humoring,8
3077,humoral,7
3078,humoralism,10
3079,humoralist,10
3080,humorism,8
3081,humorist,8
3082,humoristic,10
3083,humorize,8
3084,humorless,9
3085,humorous,8
3086,humorously,10
3087,humorousness,12
3088,humorsome,9
3089,humorsomely,11
3090,humorsomeness,13
3091,hump,4
3092,humpback,8
3093,humpbacked,10
3094,humped,6
3095,humph,5
3096,humpless,8
3097,humpy,5
3098,humstrum,8
3099,humulin,7
3100,humus,5
3101,hun,3
3102,hunch,5
3103,hunched,7
3104,hunching,8
3105,hunchback,9
3106,hunchbacked,11
3107,hundred,7
3108,hundreder,9
3109,hundredfold,11
3110,hundredth,9
3111,hundredweight,13
3112,hungarian,9
3113,hungary,7
3114,hunger,6
3115,hungered,8
3116,hungering,9
3117,hungerer,8
3118,hungerly,8
3119,hungred,7
3120,hungrily,8
3121,hungry,6
3122,hunk,4
3123,hunker,6
3124,hunkerism,9
3125,hunks,5
3126,hunted,6
3127,hunting,7
3128,hunt,4
3129,hunte,5
3130,hunter,6
3131,hunterian,9
3132,huntress,8
3133,huntsmen,8
3134,huntsman,8
3135,huntsmanship,12
3136,hurden,6
3137,hurdle,6
3138,hurdleed,8
3139,hurdleing,9
3140,hurdlework,10
3141,hurds,5
3142,hurkaru,7
3143,hurled,6
3144,hurling,7
3145,hurl,4
3146,hurlbat,7
3147,hurlbone,8
3148,hurler,6
3149,hurlwind,8
3150,hurly,5
3151,huronian,8
3152,hurons,6
3153,hurr,4
3154,hurrah,6
3155,hurra,5
3156,hurricane,9
3157,hurricanoes,11
3158,hurricano,9
3159,hurried,7
3160,hurrier,7
3161,hurries,7
3162,hurrying,8
3163,hurry,5
3164,hurryingly,10
3165,hurst,5
3166,hurt,4
3167,hurting,7
3168,hurter,6
3169,hurtful,7
3170,hurtled,7
3171,hurtling,8
3172,hurtle,6
3173,hurtleberry,11
3174,hurtless,8
3175,husband,7
3176,husbanded,9
3177,husbanding,10
3178,husbandable,11
3179,husbandage,10
3180,husbandless,11
3181,husbandly,9
3182,husbandmen,10
3183,husbandman,10
3184,husbandry,9
3185,hushed,6
3186,hushing,7
3187,hush,4
3188,husher,6
3189,husk,4
3190,husked,6
3191,husking,7
3192,huskily,7
3193,huskiness,9
3194,husky,5
3195,huso,4
3196,hussar,6
3197,hussite,7
3198,hussy,5
3199,hustings,8
3200,hustled,7
3201,hustling,8
3202,hustle,6
3203,huswife,7
3204,huswifely,9
3205,huswifery,9
3206,hut,3
3207,hutted,6
3208,hutting,7
3209,hutch,5
3210,hutched,7
3211,hutching,8
3212,hutchunsonian,13
3213,huttonian,9
3214,huxter,6
3215,huyghenian,10
3216,huzz,4
3217,huzza,5
3218,huzzaed,7
3219,huzzaing,8
3220,hy,2
3221,hyacine,7
3222,hyacinth,8
3223,hyacinthian,11
3224,hyacinthine,11
3225,hyades,6
3226,hyads,5
3227,hyaena,6
3228,hyalea,6
3229,hyalescence,11
3230,hyaline,7
3231,hyalite,7
3232,hyalograph,10
3233,hyalography,11
3234,hyaloid,7
3235,hyalonema,9
3236,hyalophane,10
3237,hyalospongia,12
3238,hyalotype,9
3239,hybernacle,10
3240,hybernate,9
3241,hybernation,11
3242,hyblaean,8
3243,hybodont,8
3244,hybodus,7
3245,hybrid,6
3246,hybridism,9
3247,hybridist,9
3248,hybridity,9
3249,hybridizable,12
3250,hybridization,13
3251,hybridized,10
3252,hybridizing,11
3253,hybridize,9
3254,hybridizer,10
3255,hybridous,9
3256,hydage,6
3257,hydantoic,9
3258,hydantoin,9
3259,hydatid,7
3260,hydatiform,10
3261,hydatoid,8
3262,hydras,6
3263,hydrae,6
3264,hydra,5
3265,hydrachnid,10
3266,hydracid,8
3267,hydracrylic,11
3268,hydractinian,12
3269,hydraemia,9
3270,hydragogue,10
3271,hydramide,9
3272,hydramine,9
3273,hydrangea,9
3274,hydrant,7
3275,hydranth,8
3276,hydrargochloride,16
3277,hydrargyrate,12
3278,hydrargyrism,12
3279,hydrargyrum,11
3280,hydrarthrosis,13
3281,hydrastine,10
3282,hydrate,7
3283,hydrated,8
3284,hydrating,9
3285,hydration,9
3286,hydraulic,9
3287,hydraulical,11
3288,hydraulicon,11
3289,hydraulics,10
3290,hydrazine,9
3291,hydrencephsloid,15
3292,hydria,6
3293,hydriad,7
3294,hydric,6
3295,hydride,7
3296,hydriform,9
3297,hydrina,7
3298,hydriodate,10
3299,hydriodic,9
3300,hydriodide,10
3301,hydrobarometer,14
3302,hydrobilirubin,14
3303,hydrobranchiata,15
3304,hydrobromate,12
3305,hydrobromic,11
3306,hydrobromide,12
3307,hydrocarbon,11
3308,hydrocarbonaceous,17
3309,hydrocarbonate,14
3310,hydrocarbostyril,16
3311,hydrocarburet,13
3312,hydrocauli,10
3313,hydrocaulus,11
3314,hydrocele,9
3315,hydrocephalic,13
3316,hydrocephaloid,14
3317,hydrocephalous,14
3318,hydrocephalus,13
3319,hydrochlorate,13
3320,hydrochloric,12
3321,hydrochloride,13
3322,hydrocorallia,13
3323,hydrocyanate,12
3324,hydrocyanic,11
3325,hydrocyanide,12
3326,hydrodynamic,12
3327,hydrodynamical,14
3328,hydrodynamics,13
3329,hydrodynamometer,16
3330,hydroferricyanic,16
3331,hydroferrocyanic,16
3332,hydrofluate,11
3333,hydrofluoric,12
3334,hydrofluosilicate,17
3335,hydrofluosilicic,16
3336,hydrogalvanic,13
3337,hydrogen,8
3338,hydrogenated,12
3339,hydrogenating,13
3340,hydrogenate,11
3341,hydrogenation,13
3342,hydrogenide,11
3343,hydrogenium,11
3344,hydrogenized,12
3345,hydrogenizing,13
3346,hydrogenize,11
3347,hydrogenous,11
3348,hydrognosy,10
3349,hydrogode,9
3350,hydrographer,12
3351,hydrographic,12
3352,hydrographical,14
3353,hydrography,11
3354,hydroguret,10
3355,hydroid,7
3356,hydroidea,9
3357,hydrokinetic,12
3358,hydrological,12
3359,hydrologist,11
3360,hydrology,9
3361,hydrolytic,10
3362,hydromagnesite,14
3363,hydromancy,10
3364,hydromantic,11
3365,hydromechanics,14
3366,hydromedusae,12
3367,hydromedusa,11
3368,hydromel,8
3369,hydromellonic,13
3370,hydrometallurgical,18
3371,hydrometallurgy,15
3372,hydrometeor,11
3373,hydrometeorological,19
3374,hydrometeorology,16
3375,hydrometer,10
3376,hydrometric,11
3377,hydrometrical,13
3378,hydrometrograph,15
3379,hydrometry,10
3380,hydromica,9
3381,hydronephrosis,14
3382,hydropath,9
3383,hydropathic,11
3384,hydropathical,13
3385,hydropathist,12
3386,hydropathy,10
3387,hydroperitoneum,15
3388,hydrophane,10
3389,hydrophanous,12
3390,hydrophid,9
3391,hydrophlorone,13
3392,hydrophobia,11
3393,hydrophobic,11
3394,hydrophoby,10
3395,hydrophora,10
3396,hydrophore,10
3397,hydrophyllia,12
3398,hydrophylliums,14
3399,hydrophyllium,13
3400,hydrophyte,10
3401,hydrophytology,14
3402,hydropic,8
3403,hydropical,10
3404,hydropically,12
3405,hydropiper,10
3406,hydropneumatic,14
3407,hydropsy,8
3408,hydropult,9
3409,hydroquinone,12
3410,hydrorhizae,11
3411,hydrorhizas,11
3412,hydrorhiza,10
3413,hydrosalt,9
3414,hydroscope,10
3415,hydrosome,9
3416,hydrosoma,9
3417,hydrosorbic,11
3418,hydrostat,9
3419,hydrostatic,11
3420,hydrostatical,13
3421,hydrostatically,15
3422,hydrostatician,14
3423,hydrostatics,12
3424,hydrosulphate,13
3425,hydrosulphide,13
3426,hydrosulphite,13
3427,hydrosulphuret,14
3428,hydrosulphureted,16
3429,hydrosulphuric,14
3430,hydrosulphurous,15
3431,hydrotellurate,14
3432,hydrotelluric,13
3433,hydrothecae,11
3434,hydrothecas,11
3435,hydrotheca,10
3436,hydrotherapy,12
3437,hydrothermal,12
3438,hydrothorax,11
3439,hydrotic,8
3440,hydrotical,10
3441,hydrotrope,10
3442,hydrotropic,11
3443,hydrotropism,12
3444,hydrous,7
3445,hydroxanthane,13
3446,hydroxanthic,12
3447,hydroxide,9
3448,hydroxyl,8
3449,hydroxylamine,13
3450,hydrozoa,8
3451,hydrozoal,9
3452,hydrozoons,10
3453,hydrozoon,9
3454,hydruret,8
3455,hydrus,6
3456,hye,3
3457,hyemal,6
3458,hyemate,7
3459,hyemation,9
3460,hyen,4
3461,hyenas,6
3462,hyena,5
3463,hyetal,6
3464,hyetograph,10
3465,hyetographic,12
3466,hyetography,11
3467,hygeia,6
3468,hygeian,7
3469,hygeist,7
3470,hygieist,8
3471,hygiene,7
3472,hygienic,8
3473,hygienics,9
3474,hygienism,9
3475,hygienist,9
3476,hygiology,9
3477,hygrine,7
3478,hygrodeik,9
3479,hygrograph,10
3480,hygrology,9
3481,hygrometer,10
3482,hygrometric,11
3483,hygrometrical,13
3484,hygrometry,10
3485,hygrophanous,12
3486,hygrophthalmic,14
3487,hygroplasm,10
3488,hygroscope,10
3489,hygroscopic,11
3490,hygroscopicity,14
3491,hygrostatics,12
3492,hyke,4
3493,hylaeosaur,10
3494,hylaeosaurus,12
3495,hylarchical,11
3496,hyleosaur,9
3497,hylic,5
3498,hylicist,8
3499,hylism,6
3500,hylobate,8
3501,hylodes,7
3502,hyloism,7
3503,hyloist,7
3504,hylopathism,11
3505,hylopathist,11
3506,hylophagous,11
3507,hylotheism,10
3508,hylotheist,10
3509,hylozoic,8
3510,hylozoism,9
3511,hylozoist,9
3512,hymar,5
3513,hymen,5
3514,hymeneal,8
3515,hymenean,8
3516,hymenia,7
3517,hymeniums,9
3518,hymenium,8
3519,hymenogeny,10
3520,hymenomycetes,13
3521,hymenophore,11
3522,hymenopter,10
3523,hymenoptera,11
3524,hymenopteral,12
3525,hymenopterous,13
3526,hymenopteran,12
3527,hymn,4
3528,hymned,6
3529,hymning,7
3530,hymnal,6
3531,hymnic,6
3532,hymnist,7
3533,hymnody,7
3534,hymnographer,12
3535,hymnography,11
3536,hymnologist,11
3537,hymnology,9
3538,hympne,6
3539,hyndreste,9
3540,hyne,4
3541,hyoganoidei,11
3542,hyoglossal,10
3543,hyoglossus,10
3544,hyoid,5
3545,hyoideal,8
3546,hyoidean,8
3547,hyomandibular,13
3548,hyomental,9
3549,hyopastron,10
3550,hyoscine,8
3551,hyoscyamine,11
3552,hyoscyamus,10
3553,hyosternal,10
3554,hyosternum,10
3555,hyostylic,9
3556,hyp,3
3557,hypaethral,10
3558,hypethral,9
3559,hypallage,9
3560,hypanthia,9
3561,hypanthiums,11
3562,hypanthium,10
3563,hypapophyles,12
3564,hypapophysis,12
3565,hyparterial,11
3566,hypaspist,9
3567,hypaxial,8
3568,hyperaemia,10
3569,hyperaesthesia,14
3570,hyperapophyses,14
3571,hyperapophysis,14
3572,hyperaspist,11
3573,hyperbatic,10
3574,hyperbaton,10
3575,hyperbola,9
3576,hyperbole,9
3577,hyperbolic,10
3578,hyperbolical,12
3579,hyperbolically,14
3580,hyperboliform,13
3581,hyperbolism,11
3582,hyperbolist,11
3583,hyperbolized,12
3584,hyperbolizing,13
3585,hyperbolize,11
3586,hyperboloid,11
3587,hyperborean,11
3588,hypercarbureted,15
3589,hypercatalectic,15
3590,hyperchloric,12
3591,hyperchromatism,15
3592,hypercritic,11
3593,hypercritical,13
3594,hypercritically,15
3595,hypercriticise,14
3596,hypercriticism,14
3597,hyperdicrotic,13
3598,hyperdicrotism,14
3599,hyperdicrotous,14
3600,hyperdulia,10
3601,hyperduly,9
3602,hyperesthesia,13
3603,hypericum,9
3604,hyperinosis,11
3605,hyperion,8
3606,hyperkinesis,12
3607,hyperkinetic,12
3608,hypermetamorphosis,18
3609,hypermeter,10
3610,hypermetrical,13
3611,hypermetropia,13
3612,hypermetropy,12
3613,hypermyriorama,14
3614,hyperoartia,11
3615,hyperopia,9
3616,hyperorganic,12
3617,hyperorthodoxy,14
3618,hyperotreta,11
3619,hyperoxide,10
3620,hyperoxygenated,15
3621,hyperoxygenized,15
3622,hyperoxymuriate,15
3623,hyperoxymuriatic,16
3624,hyperphysical,13
3625,hyperplasia,11
3626,hyperplastic,12
3627,hypernoea,9
3628,hyperpyrexia,12
3629,hypersecretion,14
3630,hypersensibility,16
3631,hyperspace,10
3632,hypersthene,11
3633,hypersthenic,12
3634,hyperthetical,13
3635,hyperthyrion,12
3636,hypertrophic,12
3637,hypertrophical,14
3638,hypertrophied,13
3639,hypertrophy,11
3640,hyphae,6
3641,hyphen,6
3642,hyphened,8
3643,hyphening,9
3644,hyphenated,10
3645,hyphomycetes,12
3646,hypidiomorphic,14
3647,hypinosis,9
3648,hypnagogic,10
3649,hypnobate,9
3650,hypnocyst,9
3651,hypnogenic,10
3652,hypnologist,11
3653,hypnology,9
3654,hypnosis,8
3655,hypnotic,8
3656,hypnotism,9
3657,hypnotization,13
3658,hypnotized,10
3659,hypnotizing,11
3660,hypnotize,9
3661,hypnotizer,10
3662,hypnum,6
3663,hypo,4
3664,hypoarian,9
3665,hypoaria,8
3666,hypoarion,9
3667,hypoblast,9
3668,hypoblastic,11
3669,hypobole,8
3670,hypobranchial,13
3671,hypocarp,8
3672,hypocarpium,11
3673,hypocarpogean,13
3674,hypocaust,9
3675,hypochlorite,12
3676,hypochlorous,12
3677,hypochondres,12
3678,hypochondria,12
3679,hypochondriac,13
3680,hypochondriacal,15
3681,hypochondriacism,16
3682,hypochondriasis,15
3683,hypochondriasm,14
3684,hypochondriums,14
3685,hypochondrium,13
3686,hypochondry,11
3687,hypocist,8
3688,hypocleida,10
3689,hypocleidiums,13
3690,hypocleidium,12
3691,hypocoristic,12
3692,hypocrateriform,15
3693,hypocraterimorphous,19
3694,hypocrisies,11
3695,hypocrisy,9
3696,hypocrite,9
3697,hypocritely,11
3698,hypocritic,10
3699,hypocritical,12
3700,hypocrystalline,15
3701,hypocycloid,11
3702,hypodactylum,12
3703,hypoderm,8
3704,hypoderma,9
3705,hypodermatic,12
3706,hypodermic,10
3707,hypodermis,10
3708,hypodicrotic,12
3709,hypodicrotous,13
3710,hypogaeic,9
3711,hypogastric,11
3712,hypogastrium,12
3713,hypogean,8
3714,hypogene,8
3715,hypogeous,9
3716,hypogea,7
3717,hypogeum,8
3718,hypoglossal,11
3719,hypognatous,11
3720,hypogyn,7
3721,hypogynous,10
3722,hypohyal,8
3723,hyponastic,10
3724,hyponasty,9
3725,hyponitrite,11
3726,hyponitrous,11
3727,hypopharynx,11
3728,hypophosphate,13
3729,hypophosphite,13
3730,hypophosphoric,14
3731,hypophosphorous,15
3732,hypophyllous,12
3733,hypophysial,11
3734,hypophysis,10
3735,hypoplastra,11
3736,hypoplastron,12
3737,hypoptila,9
3738,hypoptilums,11
3739,hypoptilum,10
3740,hyporadii,9
3741,hyporadius,10
3742,hyporhachides,13
3743,hyporhachis,11
3744,hyposkeletal,12
3745,hypospadias,11
3746,hypostases,10
3747,hypostasis,10
3748,hypostasize,11
3749,hypostatic,10
3750,hypostatical,12
3751,hypostatically,14
3752,hypostatize,11
3753,hyposterna,10
3754,hyposternums,12
3755,hyposternum,11
3756,hypostome,9
3757,hypostoma,9
3758,hypostrophe,11
3759,hypostyle,9
3760,hyposulphate,12
3761,hyposulphite,12
3762,hyposulphuric,13
3763,hyposulphurous,14
3764,hypotarsi,9
3765,hypotarsus,10
3766,hypotenuse,10
3767,hypothenuse,11
3768,hypothec,8
3769,hypotheca,9
3770,hypothecated,12
3771,hypothecating,13
3772,hypothecate,11
3773,hypothecation,13
3774,hypothecator,12
3775,hypothenal,10
3776,hypothenar,10
3777,hypothenusal,12
3778,hypotheses,10
3779,hypothesis,10
3780,hypothetic,10
3781,hypothetical,12
3782,hypothetist,11
3783,hypotrachelium,14
3784,hypotricha,10
3785,hypotrochoid,12
3786,hypotyposis,11
3787,hypoxanthin,11
3788,hypozoic,8
3789,hyppish,7
3790,hyppogriff,10
3791,hypsiloid,9
3792,hypsometer,10
3793,hypsometric,11
3794,hypsometrical,13
3795,hypsometry,10
3796,hypural,7
3797,hyracoid,8
3798,hyracoidea,10
3799,hyrax,5
3800,hyrcanian,9
3801,hyrcan,6
3802,hyrse,5
3803,hyrst,5
3804,hyson,5
3805,hyssop,6
3806,hysteranthous,13
3807,hysteresis,10
3808,hysteria,8
3809,hysteric,8
3810,hysterical,10
3811,hysterics,9
3812,hysteroepilepsy,15
3813,hysterogenic,12
3814,hysterology,11
3815,hysterophyte,12
3816,hysterotomy,11
3817,hystricine,10
3818,hystricomorphous,16
3819,hystrix,7
3820,hythe,5
