,T,Length
4043,tribal,6
4044,tribalism,9
4045,tribasic,8
4046,tribble,7
4047,tribe,5
4048,triblet,7
4049,tribolet,8
4050,tribometer,10
4051,tribrach,8
4052,tribracteate,12
4053,tribual,7
4054,tribular,8
4055,tribulation,11
4056,tribunal,8
4057,tribunary,9
4058,tribunate,9
4059,tribune,7
4060,tribuneship,11
4061,tribunician,11
4062,tribunitial,11
4063,tribunitian,11
4064,tribunitious,12
4065,trubutarily,11
4066,tributariness,13
4067,tributary,9
4068,tributaries,11
4069,tribute,7
4070,tributed,8
4071,tributing,9
4072,tributer,8
4073,tricae,6
4074,trica,5
4075,tricarballylic,14
4076,tricarbimide,12
4077,trice,5
4078,tricennarious,13
4079,tricennial,10
4080,tricentenary,12
4081,triceps,7
4082,trichiasis,10
4083,trichinae,9
4084,trichina,8
4085,trichiniasis,12
4086,trichinize,10
4087,trichinoscope,13
4088,trichinosis,11
4089,trichinous,10
4090,trichite,8
4091,trichiuriform,13
4092,trichiuroid,11
4093,trichiurus,10
4094,trichloride,11
4095,trichobranchia,14
4096,trichocyst,10
4097,trichogyne,10
4098,trichomanes,11
4099,trichomatose,12
4100,trichome,8
4101,trichophore,11
4102,trichopter,10
4103,trichoptera,11
4104,trichopteran,12
4105,trichopterous,13
4106,trichord,8
4107,trichoscolices,14
4108,trichotomous,12
4109,trichotomy,10
4110,trichroic,9
4111,trichroism,10
4112,trichromatic,12
4113,trichromatism,13
4114,trichromic,10
4115,tricipital,10
4116,trick,5
4117,tricked,7
4118,tricking,8
4119,tricker,7
4120,trickery,8
4121,trickiness,10
4122,trickish,8
4123,trickled,8
4124,trickling,9
4125,trickle,7
4126,trickment,9
4127,tricksiness,11
4128,trickster,9
4129,tricksy,7
4130,tricktrack,10
4131,tricky,6
4132,triclinate,10
4133,tricliniary,11
4134,triclinic,9
4135,triclinia,9
4136,triclinium,10
4137,tricoccous,10
4138,tricolor,8
4139,tricolored,10
4140,tricornigerous,14
4141,tricorporal,11
4142,tricorporate,12
4143,tricostate,10
4144,tricot,6
4145,tricrotic,9
4146,tricrotism,10
4147,tricrotous,10
4148,tricurvate,10
4149,tricuspid,9
4150,tricuspidate,12
4151,tricycle,8
4152,tridacna,8
4153,tridactyl,9
4154,tridactyle,10
4155,tridactylous,12
4156,triddler,8
4157,tride,5
4158,tridecane,9
4159,tridecatoic,11
4160,tridecatylene,13
4161,trident,7
4162,tridentate,10
4163,tridentated,11
4164,tridented,9
4165,tridentiferous,14
4166,tridentine,10
4167,tridiapason,11
4168,tridimensional,14
4169,triding,7
4170,triduan,7
4171,tridymite,9
4172,tried,5
4173,triedral,8
4174,triennial,9
4175,triennially,11
4176,triens,6
4177,trier,5
4178,trierarch,9
4179,trierarchises,13
4180,trierarchy,10
4181,trieterical,11
4182,trieterics,10
4183,triethylamine,13
4184,trifacial,9
4185,trifallowed,11
4186,trifallowing,12
4187,trifallow,9
4188,trifarious,10
4189,trifasciated,12
4190,trifid,6
4191,trifistulary,12
4192,trifle,6
4193,trifled,7
4194,trifling,8
4195,trifler,7
4196,trifloral,9
4197,triflorous,10
4198,trifluctuation,14
4199,trifoliate,10
4200,trifoliated,11
4201,trifoliolate,12
4202,trifolium,9
4203,trifoly,7
4204,triforium,9
4205,triform,7
4206,triformity,10
4207,trifurcate,10
4208,trifurcated,11
4209,trig,4
4210,trigamist,9
4211,trigamous,9
4212,trigamy,7
4213,trigastric,10
4214,trigeminal,10
4215,trigeminous,11
4216,trigenic,8
4217,trigger,7
4218,trigintal,9
4219,triglyceride,12
4220,triglyph,8
4221,triglyphic,10
4222,triglyphical,12
4223,trigness,8
4224,trigon,6
4225,trigonal,8
4226,trigone,7
4227,trigonia,8
4228,trigonocerous,13
4229,trigonometric,13
4230,trigonometrical,15
4231,trigonometry,12
4232,trigonous,9
4233,trigram,7
4234,trigrammatic,12
4235,trigrammic,10
4236,trigraph,8
4237,trigyn,6
4238,trigynia,8
4239,trigynian,9
4240,trigynous,9
4241,trihedral,9
4242,trihedron,9
4243,trihoral,8
4244,trijugate,9
4245,trijugous,9
4246,trikosane,9
4247,trilateral,10
4248,trilemma,8
4249,trilinear,9
4250,trilingual,10
4251,trilinguar,10
4252,triliteral,10
4253,triliteralism,13
4254,triliterality,13
4255,triliteralness,14
4256,trilith,7
4257,trilithic,9
4258,trilithons,10
4259,trilithon,9
4260,trill,5
4261,trilled,7
4262,trilling,8
4263,trillachan,10
4264,trillion,8
4265,trillium,8
4266,trillo,6
4267,trilobate,9
4268,trilobation,11
4269,trilobed,8
4270,trilobita,9
4271,trilobite,9
4272,trilobitic,10
4273,trilocular,10
4274,trilogy,7
4275,triluminar,10
4276,triluminous,11
4277,trimmed,7
4278,trimming,8
4279,trim,4
4280,trimaculated,12
4281,trimellic,9
4282,trimembral,10
4283,trimera,7
4284,trimeran,8
4285,trimerous,9
4286,trimesitic,10
4287,trimester,9
4288,trimestral,10
4289,trimestrial,11
4290,trimeter,8
4291,trimethyl,9
4292,trimethylamine,14
4293,trimethylene,12
4294,trimetric,9
4295,trimetrical,11
4296,trimly,6
4297,trimmer,7
4298,trimmingly,10
4299,trimness,8
4300,trimorph,8
4301,trimorphic,10
4302,trimorphous,11
4303,trimorphism,11
4304,trimurti,8
4305,trimyarian,10
4306,trinal,6
4307,trindle,7
4308,trine,5
4309,trinervate,10
4310,trinerve,8
4311,trinerved,9
4312,tringa,6
4313,tringle,7
4314,tringoid,8
4315,trinitarian,11
4316,trinitarianism,14
4317,trinitrocellulose,17
4318,trinitrophenol,14
4319,trinity,7
4320,triniunity,10
4321,trink,5
4322,trinket,7
4323,trinketer,9
4324,trinketry,9
4325,trinkle,7
4326,trinoctial,10
4327,trinodal,8
4328,trinomial,9
4329,trinominal,10
4330,trinucleus,10
4331,trio,4
4332,triobolar,9
4333,triobolary,10
4334,trioctile,9
4335,tri/cia,7
4336,tri/cious,9
4337,triole,6
4338,triolein,8
4339,triolet,7
4340,trionychoidea,13
4341,trionyx,7
4342,trior,5
4343,trioxide,8
4344,tripped,7
4345,tripping,8
4346,trip,4
4347,tripalmitate,12
4348,tripalmitin,11
4349,tripang,7
4350,triparted,9
4351,tripartible,11
4352,tripartient,11
4353,tripartite,10
4354,tripartitely,12
4355,tripartition,12
4356,tripaschal,10
4357,tripe,5
4358,tripedal,8
4359,tripel,6
4360,tripeman,8
4361,tripennate,10
4362,tripersonal,11
4363,tripersonalist,14
4364,tripersonality,14
4365,tripery,7
4366,tripestone,10
4367,tripetaloid,11
4368,tripetalous,11
4369,triphane,8
4370,triphthong,10
4371,triphthongal,12
4372,triphyline,10
4373,triphylite,10
4374,triphyllous,11
4375,tripinnate,10
4376,tripinnatifid,13
4377,triplasian,10
4378,triple,6
4379,tripled,7
4380,tripling,8
4381,triplet,7
4382,triplicate,10
4383,triplication,12
4384,triplicity,10
4385,triplicostate,13
4386,triplite,8
4387,triploblastic,13
4388,triploidite,11
4389,triply,6
4390,tripmadam,9
4391,tripod,6
4392,tripodian,9
4393,tripody,7
4394,tripoli,7
4395,tripoline,9
4396,tripolitan,10
4397,triposes,8
4398,tripos,6
4399,trippant,8
4400,tripper,7
4401,trippet,7
4402,trippingly,10
4403,tripsis,7
4404,triptote,8
4405,triptych,8
4406,tripudiary,10
4407,tripudiate,10
4408,tripudiation,12
4409,triquadrantal,13
4410,triquetral,10
4411,triquetrous,11
4412,triquetra,9
4413,triquetrum,10
4414,triradiate,10
4415,triradiated,11
4416,trirectangular,14
4417,trireme,7
4418,trirhomboidal,13
4419,trisacramentarian,17
4420,trisagion,9
4421,trisected,9
4422,trisecting,10
4423,trisect,7
4424,trisection,10
4425,triseralous,11
4426,triserial,9
4427,triseriate,10
4428,trismus,7
4429,trisnitrate,11
4430,trisoctahedron,14
4431,trispast,8
4432,trispaston,10
4433,trispermous,11
4434,trisplanchnic,13
4435,triste,6
4436,trist,5
4437,tristearate,11
4438,tristearin,10
4439,tristtul,8
4440,tristfully,10
4441,tristichous,11
4442,tristigmatic,12
4443,tristigmatose,13
4444,tristitiate,11
4445,tristoma,8
4446,tristy,6
4447,trisuls,7
4448,trisulcate,10
4449,trisulphide,11
4450,trisyllabic,11
4451,trisyllabical,13
4452,trisyllable,11
4453,trite,5
4454,triternate,10
4455,tritheism,9
4456,tritheist,9
4457,tritheistic,11
4458,tritheistical,13
4459,tritheite,9
4460,trithing,8
4461,trithionate,11
4462,trithionic,10
4463,tritical,8
4464,triticin,8
4465,triticum,8
4466,triton,6
4467,tritone,7
4468,tritorium,9
4469,tritova,7
4470,tritovum,8
4471,tritozooid,10
4472,triturable,10
4473,triturated,10
4474,triturating,11
4475,triturate,9
4476,trituration,11
4477,triture,7
4478,triturium,9
4479,trityl,6
4480,tritylene,9
4481,triumph,7
4482,triumphed,9
4483,triumphing,10
4484,triumphal,9
4485,triumplant,10
4486,triumphantly,12
4487,triumpher,9
4488,triumviri,9
4489,triumvirs,9
4490,triumvir,8
4491,triumvirate,11
4492,triumviry,9
4493,triune,6
4494,triunguli,9
4495,triungulus,10
4496,triunity,8
4497,trivalence,10
4498,trivalent,9
4499,trivalve,8
4500,trivalvular,11
4501,trivant,7
4502,triverbial,10
4503,trivet,6
4504,trivial,7
4505,trivialism,10
4506,trivialities,12
4507,triviality,10
4508,trivially,9
4509,trivialness,11
4510,trivium,7
4511,triweekly,9
4512,troad,5
4513,troat,5
4514,trocar,6
4515,trochaic,8
4516,trochaical,10
4517,trochal,7
4518,trochanter,10
4519,trochanteric,12
4520,trochantine,11
4521,trochar,7
4522,troche,6
4523,trochee,7
4524,trochil,7
4525,trochilic,9
4526,trochilics,10
4527,trochili,8
4528,trochilidist,12
4529,trochilos,9
4530,trochilus,9
4531,troching,8
4532,trochisci,9
4533,trochiscus,10
4534,trochisk,8
4535,trochite,8
4536,trochlea,8
4537,trochlear,9
4538,trochleary,10
4539,trochoid,8
4540,trochoidal,10
4541,trochometer,11
4542,trochosphere,12
4543,trochi,6
4544,trochus,7
4545,troco,5
4546,trode,5
4547,troglodyte,10
4548,troglodytes,11
4549,troglodytic,11
4550,troglodytical,13
4551,trogon,6
4552,trogonoid,9
4553,trogue,6
4554,troic,5
4555,troilite,8
4556,troili,6
4557,troiluses,9
4558,troilus,7
4559,trojan,6
4560,troll,5
4561,trolled,7
4562,trolling,8
4563,troller,7
4564,trolley,7
4565,trolly,6
4566,trollmydames,12
4567,trollop,7
4568,trollopee,9
4569,trombone,8
4570,trommel,7
4571,tromp,5
4572,trompe,6
4573,trompil,7
4574,tron,4
4575,trona,5
4576,tronage,7
4577,tronator,8
4578,trone,5
4579,trones,6
4580,troop,5
4581,trooped,7
4582,trooping,8
4583,troopbird,9
4584,trooper,7
4585,troopfowl,9
4586,troopial,8
4587,troopmeal,9
4588,troopship,9
4589,troostite,9
4590,tropaeolin,10
4591,trope,5
4592,tropeine,8
4593,trophi,6
4594,trophic,7
4595,trophied,8
4596,trophonian,10
4597,trophosome,10
4598,trophosperm,11
4599,trophies,8
4600,trophy,6
4601,tropic,6
4602,tropical,8
4603,tropically,10
4604,tropidine,9
4605,tropilidene,11
4606,tropine,7
4607,tropist,7
4608,tropologic,10
4609,tropological,12
4610,tropologize,11
4611,tropology,9
4612,trossers,8
4613,trotted,7
4614,trotting,8
4615,trot,4
4616,troth,5
4617,trothless,9
4618,trothplight,11
4619,trothplighted,13
4620,trotter,7
4621,trottoir,8
4622,troubadour,10
4623,troublable,10
4624,troubled,8
4625,troubling,9
4626,trouble,7
4627,troubler,8
4628,troublesome,11
4629,troublous,9
4630,trough,6
4631,troul,5
4632,trounced,8
4633,trouncing,9
4634,trounce,7
4635,troupe,6
4636,troupial,8
4637,trouse,6
4638,trousering,10
4639,trousers,8
4640,trousseau,9
4641,trout,5
4642,troutbird,9
4643,troutlet,8
4644,troutling,9
4645,trouvere,8
4646,trouveur,8
4647,trover,6
4648,trow,4
4649,trowel,6
4650,troweled,8
4651,trowelfuls,10
4652,trowelful,9
4653,trowl,5
4654,trowsed,7
4655,trowsers,8
4656,troy,4
4657,troyounce,9
4658,truage,6
4659,truancy,7
4660,truand,6
4661,truant,6
4662,truantly,8
4663,truantship,10
4664,trub,4
4665,trubtall,8
4666,trubu,5
4667,truce,5
4668,trucebreaker,12
4669,truceless,9
4670,truchman,8
4671,trucidation,11
4672,truck,5
4673,trucked,7
4674,trucking,8
4675,truckage,8
4676,trucker,7
4677,truckle,7
4678,truckled,8
4679,truckling,9
4680,truckler,8
4681,truckmen,8
4682,truckman,8
4683,truculence,10
4684,truculency,10
4685,truculent,9
4686,truculently,11
4687,trudged,7
4688,trudging,8
4689,trudge,6
4690,trudgeman,9
4691,true,4
4692,truelove,8
4693,trueness,8
4694,truffle,7
4695,truffled,8
4696,trug,4
4697,truism,6
4698,truismatic,10
4699,trull,5
4700,trullization,12
4701,truly,5
4702,trump,5
4703,trumped,7
4704,trumping,8
4705,trumpery,8
4706,trumpet,7
4707,trumpeted,9
4708,trumpeting,10
4709,trumpeter,9
4710,trumpets,8
4711,trumpetweed,11
4712,trumpetwood,11
4713,trumpie,7
4714,trumplike,9
4715,truncal,7
4716,truncated,9
4717,truncating,10
4718,truncate,8
4719,truncation,10
4720,trunch,6
4721,truncheon,9
4722,truncheoned,11
4723,truncheoneer,12
4724,truncus,7
4725,trundle,7
4726,trundled,8
4727,trundling,9
4728,trundlehead,11
4729,trundletail,11
4730,trunk,5
4731,trunkback,9
4732,trunked,7
4733,trunkfish,9
4734,trunkfuls,9
4735,trunkful,8
4736,trunkwork,9
4737,trunnel,7
4738,trunnion,8
4739,trunnioned,10
4740,trusion,7
4741,truss,5
4742,trussed,7
4743,trussing,8
4744,trust,5
4745,trusted,7
4746,trusting,8
4747,trustee,7
4748,trusteeship,11
4749,truster,7
4750,trustful,8
4751,trustily,8
4752,trustiness,10
4753,trustless,9
4754,trustworthy,11
4755,trusty,6
4756,truths,6
4757,truth,5
4758,truthful,8
4759,truthless,9
4760,truthness,9
4761,truthy,6
4762,trutination,11
4763,truttaceous,11
4764,trying,6
4765,try,3
4766,trygon,6
4767,trypsin,7
4768,trypsinogen,11
4769,tryptic,7
4770,tryptone,8
4771,trysail,7
4772,tryst,5
4773,tryster,7
4774,trysting,8
4775,tsar,4
4776,tsarina,7
4777,tsaritsa,8
4778,tschakmeck,10
4779,tschego,7
4780,tsebe,5
4781,tsetse,6
4782,tuatera,7
4783,tub,3
4784,tubbed,6
4785,tubbing,7
4786,tuba,4
4787,tubal,5
4788,tubby,5
4789,tube,4
4790,tubed,5
4791,tubing,6
4792,tubeform,8
4793,tuber,5
4794,tubercle,8
4795,tubercled,9
4796,tubercular,10
4797,tuberculate,11
4798,tuberculated,12
4799,tuberculin,10
4800,tuberculization,15
4801,tuberculose,11
4802,tuberculous,11
4803,tuberculosis,12
4804,tubercula,9
4805,tuberculum,10
4806,tuberiferous,12
4807,tuberose,8
4808,tuberosities,12
4809,tuberosity,10
4810,tuberous,8
4811,tubeworm,8
4812,tubfish,7
4813,tubfuls,7
4814,tubful,6
4815,tubicinate,10
4816,tubicolae,9
4817,tubicolar,9
4818,tubicole,8
4819,tubicolous,10
4820,tubicorn,8
4821,tubicornous,11
4822,tubiform,8
4823,tubinares,9
4824,tubipora,8
4825,tubipore,8
4826,tubiporite,10
4827,tubivalve,9
4828,tubmen,6
4829,tubman,6
4830,tubular,7
4831,tubularia,9
4832,tubulariae,10
4833,tubularian,10
4834,tubularida,10
4835,tubulate,8
4836,tubulated,9
4837,tubulation,10
4838,tubulature,10
4839,tubule,6
4840,tubulibranchian,15
4841,tubulibranchiata,16
4842,tubulicole,10
4843,tubulidentate,13
4844,tubuliform,10
4845,tubulipore,10
4846,tubulose,8
4847,tubulous,8
4848,tubulure,8
4849,tucan,5
4850,tucet,5
4851,tuch,4
4852,tuck,4
4853,tucked,6
4854,tucking,7
4855,tuckahoe,8
4856,tucker,6
4857,tucket,6
4858,tucum,5
4859,tucuma,6
4860,tudor,5
4861,tue,3
4862,tuefall,7
4863,tuesday,7
4864,tuet,4
4865,tufa,4
4866,tufaceous,9
4867,tuff,4
4868,tuffoon,7
4869,tuft,4
4870,tufted,6
4871,tufting,7
4872,tufthunter,10
4873,tufthunting,11
4874,tufty,5
4875,tugged,6
4876,tugging,7
4877,tug,3
4878,tugan,5
4879,tugboat,7
4880,tugger,6
4881,tuggingly,9
4882,tulle,5
4883,tuition,7
4884,tuitionary,10
4885,tule,4
4886,tulip,5
4887,tulipist,8
4888,tulipomania,11
4889,tulipomaniac,12
4890,tulipwood,9
4891,tull,4
4892,tullian,7
4893,tullibee,8
4894,tumbled,7
4895,tumbling,8
4896,tumble,6
4897,tumblebug,9
4898,tumbledung,10
4899,tumbler,7
4900,tumblerfuls,11
4901,tumblerful,10
4902,tumbleweed,10
4903,tumbrel,7
4904,tumbril,7
4905,tumefaction,11
4906,tumefied,8
4907,tumefying,9
4908,tumefy,6
4909,tumid,5
4910,tumidity,8
4911,tummals,7
4912,tumor,5
4913,tumored,7
4914,tumorous,8
4915,tump,4
4916,tumped,6
4917,tumping,7
4918,tumpline,8
4919,tumular,7
4920,tumulate,8
4921,tumulose,8
4922,tumulosity,10
4923,tumulous,8
4924,tumult,6
4925,tumulter,8
4926,tumultuarily,12
4927,tumultuariness,14
4928,tumultuary,10
4929,tumultuate,10
4930,tumultuation,12
4931,tumultuous,10
4932,tumuli,6
4933,tumulus,7
4934,tun,3
4935,tunned,6
4936,tunning,7
4937,tuna,4
4938,tunable,7
4939,tundra,6
4940,tune,4
4941,tuned,5
4942,tuning,6
4943,tuneful,7
4944,tuneless,8
4945,tuner,5
4946,tungstate,9
4947,tungsten,8
4948,tungstenic,10
4949,tungstic,8
4950,tungstite,9
4951,tunguses,8
4952,tungusic,8
4953,tunhoof,7
4954,tunic,5
4955,tunicaries,10
4956,tunicary,8
4957,tunicata,8
4958,tunicate,8
4959,tunicated,9
4960,tunicin,7
4961,tunicle,7
4962,tunk,4
4963,tunker,6
4964,tunnage,7
4965,tunnel,6
4966,tunneled,8
4967,tunnelled,9
4968,tunneling,9
4969,tunnelling,10
4970,tunnies,7
4971,tunny,5
4972,tup,3
4973,tupal,5
4974,tupaiid,7
4975,tupelo,6
4976,tupmen,6
4977,tupman,6
4978,tur,3
4979,turacin,7
4980,turacou,7
4981,turacoverdin,12
4982,turanian,8
4983,turanians,9
4984,turatt,6
4985,turban,6
4986,turband,7
4987,turbaned,8
4988,turbant,7
4989,turbaries,9
4990,turbary,7
4991,turbellaria,11
4992,turbellarian,12
4993,turbeth,7
4994,turbid,6
4995,turbidity,9
4996,turbidly,8
4997,turbidness,10
4998,turbillion,10
4999,turbinaceous,12
5000,turbinal,8
5001,turbinate,9
5002,turbinated,10
5003,turbination,11
5004,turbine,7
5005,turbinella,10
5006,turbinite,9
5007,turbinoid,9
5008,turbit,6
5009,turbite,7
5010,turbith,7
5011,turbo,5
5012,turbot,6
5013,turbulence,10
5014,turbulency,10
5015,turbulent,9
5016,turbulently,11
5017,turcism,7
5018,turcomans,9
5019,turcoman,8
5020,turdiformes,11
5021,turdus,6
5022,tureen,6
5023,tureenfuls,10
5024,tureenful,9
5025,turfs,5
5026,turves,6
5027,turf,4
5028,turfed,6
5029,turfing,7
5030,turfen,6
5031,turfiness,9
5032,turfite,7
5033,turfless,8
5034,turfmen,7
5035,turfman,7
5036,turfy,5
5037,turgent,7
5038,turgesced,9
5039,turgescing,10
5040,turgesce,8
5041,turgescence,11
5042,turgescency,11
5043,turgescent,10
5044,turgid,6
5045,turgidity,9
5046,turgidous,9
5047,turiones,8
5048,turio,5
5049,turiole,7
5050,turion,6
5051,turioniferous,13
5052,turk,4
5053,turkeis,7
5054,turkey,6
5055,turkeys,7
5056,turkic,6
5057,turkis,6
5058,turkish,7
5059,turkism,7
5060,turkle,6
5061,turkos,6
5062,turko,5
5063,turkois,7
5064,turkomans,9
5065,turkoman,8
5066,turlupin,8
5067,turm,4
5068,turmaline,9
5069,turmeric,8
5070,turmerol,8
5071,turmoil,7
5072,turmoiled,9
5073,turmoiling,10
5074,turned,6
5075,turning,7
5076,turn,4
5077,turnbroach,10
5078,turncoat,8
5079,turnep,6
5080,turner,6
5081,turnerite,9
5082,turnery,7
5083,turney,6
5084,turnhalle,9
5085,turnicimorphae,14
5086,turningness,11
5087,turnip,6
5088,turnix,6
5089,turnkeys,8
5090,turnkey,7
5091,turnover,8
5092,turnpike,8
5093,turnpiked,9
5094,turnpiking,10
5095,turnplate,9
5096,turnsole,8
5097,turnspit,8
5098,turnstile,9
5099,turnstone,9
5100,turntable,9
5101,turnus,6
5102,turnverein,10
5103,turnwrest,9
5104,turonian,8
5105,turpentine,10
5106,turpeth,7
5107,turpin,6
5108,turpitude,9
5109,turquoise,9
5110,turquois,8
5111,turrel,6
5112,turret,6
5113,turreted,8
5114,turribant,9
5115,turrical,8
5116,turriculate,11
5117,turriculated,12
5118,turrilite,9
5119,turritella,10
5120,turritelloid,12
5121,turtle,6
5122,turtledove,10
5123,turtlehead,10
5124,turtler,7
5125,turtling,8
5126,tuscan,6
5127,tuscaroras,10
5128,tuscor,6
5129,tush,4
5130,tusk,4
5131,tusked,6
5132,tusker,6
5133,tusky,5
5134,tussicular,10
5135,tussle,6
5136,tussock,7
5137,tussocky,8
5138,tussuck,7
5139,tut,3
5140,tutelage,8
5141,tutelar,7
5142,tutelary,8
5143,tutele,6
5144,tutenag,7
5145,tutor,5
5146,tutored,7
5147,tutoring,8
5148,tutorage,8
5149,tutoress,8
5150,tutorial,8
5151,tutorism,8
5152,tutorize,8
5153,tutorship,9
5154,tutory,6
5155,tutress,7
5156,tutrix,6
5157,tutsan,6
5158,tutti,5
5159,tutty,5
5160,tuyere,6
5161,tuz,3
5162,tuza,4
5163,twaddle,7
5164,twaddler,8
5165,twaddling,9
5166,twaddy,6
5167,twagger,7
5168,twain,5
5169,twaite,6
5170,twang,5
5171,twanged,7
5172,twanging,8
5173,twangle,7
5174,twank,5
5175,twankay,7
5176,twattle,7
5177,twattler,8
5178,tway,4
5179,twayblade,9
5180,tweag,5
5181,tweague,7
5182,tweak,5
5183,tweed,5
5184,tweedle,7
5185,tweel,5
5186,tweer,5
5187,tweese,6
5188,tweeze,6
5189,tweezers,8
5190,twelfth,7
5191,twelfthtide,11
5192,twelve,6
5193,twelvemo,8
5194,twelvemonth,11
5195,twelvepence,11
5196,twelvepenny,11
5197,twelvescore,11
5198,twentieth,9
5199,twenty,6
5200,twenties,8
5201,twentyfold,10
5202,twey,4
5203,tweyfold,8
5204,twibil,6
5205,twibilled,9
5206,twice,5
5207,twiddle,7
5208,twifallowed,11
5209,twifallowing,12
5210,twifallow,9
5211,twifold,7
5212,twigged,7
5213,twigging,8
5214,twig,4
5215,twiggen,7
5216,twigger,7
5217,twiggy,6
5218,twight,6
5219,twighte,7
5220,twigless,8
5221,twigsome,8
5222,twilight,8
5223,twilled,7
5224,twilling,8
5225,twill,5
5226,twilly,6
5227,twilt,5
5228,twin,4
5229,twinned,7
5230,twinning,8
5231,twinborn,8
5232,twine,5
5233,twined,6
5234,twining,7
5235,twiner,6
5236,twinged,7
5237,twinging,8
5238,twinge,6
5239,twink,5
5240,twinkled,8
5241,twinkling,9
5242,twinkle,7
5243,twinkler,8
5244,twinleaf,8
5245,twinlike,8
5246,twinling,8
5247,twinner,7
5248,twinter,7
5249,twire,5
5250,twirled,7
5251,twirling,8
5252,twirl,5
5253,twisted,7
5254,twisting,8
5255,twist,5
5256,twiste,6
5257,twister,7
5258,twistical,9
5259,twitted,7
5260,twitting,8
5261,twit,4
5262,twitched,8
5263,twitching,9
5264,twitch,6
5265,twitcher,8
5266,twite,5
5267,twitlark,8
5268,twitter,7
5269,twittered,9
5270,twittering,10
5271,twittingly,10
5272,two,3
5273,twofold,7
5274,twopence,8
5275,twopenny,8
5276,twyblade,8
5277,tychonic,8
5278,tycoon,6
5279,tydy,4
5280,tye,3
5281,tyer,4
5282,tyfoon,6
5283,tyger,5
5284,tyke,4
5285,tylari,6
5286,tylarus,7
5287,tyler,5
5288,tylopoda,8
5289,tyloses,7
5290,tylosis,7
5291,tymbal,6
5292,tymp,4
5293,tympan,6
5294,tympanal,8
5295,tympanic,8
5296,tympanist,9
5297,tympanites,10
5298,tympanitic,10
5299,tympanitis,10
5300,tympanize,9
5301,tympanized,10
5302,tympanizing,11
5303,tympani,7
5304,tympano,7
5305,tympanohyal,11
5306,tympanums,9
5307,tympana,7
5308,tympanum,8
5309,tympany,7
5310,tynd,4
5311,tyne,4
5312,tyny,4
5313,typal,5
5314,type,4
5315,typed,5
5316,typing,6
5317,typesetter,10
5318,typesetting,11
5319,typewrite,9
5320,typewriter,10
5321,typewriting,11
5322,typhlitis,9
5323,typhlosole,10
5324,typhoean,8
5325,typhoid,7
5326,typhomalarial,13
5327,typhomania,10
5328,typhon,6
5329,typhoon,7
5330,typhos,6
5331,typhotoxin,10
5332,typhous,7
5333,typhus,6
5334,typic,5
5335,typical,7
5336,typification,12
5337,typifier,8
5338,typified,8
5339,typifying,9
5340,typify,6
5341,typo,4
5342,typocosmy,9
5343,typographer,11
5344,typographic,11
5345,typographical,13
5346,typography,10
5347,typolite,8
5348,typology,8
5349,typothetae,10
5350,tyran,5
5351,tyranness,9
5352,tyrannic,8
5353,tyrannical,10
5354,tyrannicidal,12
5355,tyrannicide,11
5356,tyrannish,9
5357,tyrannized,10
5358,tyrannizing,11
5359,tyrannize,9
5360,tyrannous,9
5361,tyranny,7
5362,tyrant,6
5363,tyre,4
5364,tyrian,6
5365,tyros,5
5366,tyro,4
5367,tyrociny,8
5368,tyrolite,8
5369,tyronism,8
5370,tyrosin,7
5371,tyrotoxicon,11
5372,tyrotoxine,10
5373,tysonite,8
5374,tystie,6
5375,tythe,5
5376,tything,7
5377,tzar,4
5378,tzarina,7
5379,tzaritza,8
5380,tzetze,6
